"job_title_short","salary_year_avg"
"Data Analyst","76364.5"
"Data Analyst","76007.0"
"Data Analyst","76007.0"
"Data Analyst","76000.0"
"Data Analyst","76000.0"
"Data Analyst","75566.0"
"Data Analyst","75500.0"
"Data Analyst","75296.0"
"Data Analyst","75250.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Senior Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","75000.0"
"Data Analyst","74500.0"
"Data Analyst","74224.5"
"Data Analyst","74049.0"
"Data Analyst","74000.0"
"Data Analyst","74000.0"
"Data Analyst","73696.0"
"Data Analyst","73631.0"
"Data Analyst","73000.0"
"Data Analyst","73000.0"
"Data Analyst","72500.0"
"Data Analyst","72500.0"
"Data Analyst","72500.0"
"Data Analyst","72500.0"
"Data Analyst","72500.0"
"Senior Data Analyst","72500.0"
"Data Analyst","72500.0"
"Data Analyst","72500.0"
"Data Analyst","72450.0"
"Data Analyst","72000.0"
"Data Analyst","71850.0"
"Data Analyst","71850.0"
"Data Analyst","71850.0"
"Data Analyst","71000.0"
"Senior Data Analyst","70842.9609375"
"Data Analyst","70500.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Data Analyst","70000.0"
"Senior Data Analyst","69750.0"
"Data Analyst","69500.0"
"Data Analyst","69000.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","67500.0"
"Data Analyst","66500.0"
"Data Analyst","65062.3984375"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","65000.0"
"Data Analyst","63991.0"
"Data Analyst","63594.0"
"Data Analyst","63000.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62500.0"
"Data Analyst","62000.0"
"Data Analyst","62000.0"
"Data Analyst","60500.0"
"Data Analyst","60500.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","60000.0"
"Data Analyst","59500.0"
"Data Analyst","59000.0"
"Data Analyst","59000.0"
"Data Analyst","58000.0"
"Data Analyst","58000.0"
"Data Analyst","57500.0"
"Data Analyst","57500.0"
"Data Analyst","57500.0"
"Data Analyst","57500.0"
"Data Analyst","57300.0"
"Data Analyst","55500.0"
"Data Analyst","55000.0"
"Data Analyst","55000.0"
"Data Analyst","54540.0"
"Data Analyst","53000.0"
"Data Analyst","52500.0"
"Data Analyst","52500.0"
"Data Analyst","52500.0"
"Data Analyst","52500.0"
"Data Analyst","52500.0"
"Data Analyst","52000.0"
"Data Analyst","51500.0"
"Data Analyst","51059.0"
"Data Analyst","51000.0"
"Senior Data Analyst","50500.0"
"Data Analyst","50500.0"
"Data Analyst","50000.0"
"Data Analyst","50000.0"
"Data Analyst","50000.0"
"Data Analyst","50000.0"
"Data Analyst","50000.0"
"Data Analyst","48500.0"
"Data Analyst","47500.0"
"Data Analyst","47500.0"
"Data Analyst","47500.0"
"Data Analyst","46500.0"
"Senior Data Analyst","43031.0"
"Data Analyst","42500.0"
"Data Analyst","41000.0"
"Data Analyst","40000.0"
"Data Analyst","39000.0"
"Data Analyst","36000.0"
"Data Analyst","35000.0"
"Data Analyst","25000.0"
